id,age_group,occupation,income,preference,frequency,price_sensitivity,brand_preference,brand_loyalty,persona_description
29,18-24,Student,3492,Latte,Medium,High,Nowwa,0.34,你是一名18-24岁的Student，生活在上海。月收入约3492元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.34。
30,25-34,Freelance,9105,Latte,High,Medium,Starbucks,0.55,你是一名25-34岁的Freelance，生活在上海。月收入约9105元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.55。
31,35-44,Service/Blue,7817,Latte,Medium,High,Nowwa,0.74,你是一名35-44岁的Service/Blue，生活在上海。月收入约7817元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.74。
32,55-64,Service/Blue,7295,Tea,Medium,High,Luckin,0.33,你是一名55-64岁的Service/Blue，生活在上海。月收入约7295元。你对咖啡的需求频率是Medium。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.33。
33,25-34,Service/Blue,7121,Latte,High,High,Luckin,0.53,你是一名25-34岁的Service/Blue，生活在上海。月收入约7121元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.53。
34,55-64,Tech/Finance,13022,Latte,High,Medium,Luckin,0.56,你是一名55-64岁的Tech/Finance，生活在上海。月收入约13022元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.56。
35,65+,Freelance,5471,Americano,Medium,High,Starbucks,0.52,你是一名65+岁的Freelance，生活在上海。月收入约5471元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对星巴克有一定偏好，品牌忠诚度约0.52。
36,35-44,White Collar,15016,Latte,High,Medium,Luckin,0.37,你是一名35-44岁的White Collar，生活在上海。月收入约15016元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.37。
37,35-44,Tech/Finance,13898,Americano,High,Medium,Luckin,0.52,你是一名35-44岁的Tech/Finance，生活在上海。月收入约13898元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.52。
38,25-34,Tech/Finance,35414,Americano,High,Low,Luckin,0.76,你是一名25-34岁的Tech/Finance，生活在上海。月收入约35414元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Low。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.76。
39,18-24,Student,2969,Specialty,Medium,High,Manner,0.27,你是一名18-24岁的Student，生活在上海。月收入约2969元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对Manner Coffee有一定偏好，品牌忠诚度约0.27。
40,65+,Retired,9548,Americano,Low,Medium,Luckin,0.73,你是一名65+岁的Retired，生活在上海。月收入约9548元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.73。
41,25-34,Tech/Finance,26723,Latte,High,Low,Manner,0.24,你是一名25-34岁的Tech/Finance，生活在上海。月收入约26723元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Low。你对Manner Coffee有一定偏好，品牌忠诚度约0.24。
42,25-34,White Collar,10505,Latte,High,Medium,Yongbo,0.55,你是一名25-34岁的White Collar，生活在上海。月收入约10505元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.55。
43,25-34,Service/Blue,7873,Specialty,High,High,MStand,0.33,你是一名25-34岁的Service/Blue，生活在上海。月收入约7873元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对M Stand有一定偏好，品牌忠诚度约0.33。
44,35-44,Tech/Finance,22093,Americano,High,Medium,Yongbo,0.23,你是一名35-44岁的Tech/Finance，生活在上海。月收入约22093元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.23。
45,35-44,White Collar,12804,Americano,High,Medium,Luckin,0.3,你是一名35-44岁的White Collar，生活在上海。月收入约12804元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.3。
46,35-44,Service/Blue,5077,Americano,Medium,High,Luckin,0.28,你是一名35-44岁的Service/Blue，生活在上海。月收入约5077元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.28。
47,55-64,Retired,4132,Tea,Low,High,Luckin,0.5,你是一名55-64岁的Retired，生活在上海。月收入约4132元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.5。
48,25-34,Freelance,2111,Latte,High,High,Luckin,0.62,你是一名25-34岁的Freelance，生活在上海。月收入约2111元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.62。
49,25-34,White Collar,11172,Latte,High,Medium,Starbucks,0.33,你是一名25-34岁的White Collar，生活在上海。月收入约11172元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.33。
50,25-34,Tech/Finance,34323,Americano,High,Low,Luckin,0.56,你是一名25-34岁的Tech/Finance，生活在上海。月收入约34323元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Low。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.56。
51,65+,White Collar,14129,Tea,High,Medium,Luckin,0.38,你是一名65+岁的White Collar，生活在上海。月收入约14129元。你对咖啡的需求频率是High。你最喜欢的口味是Tea。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.38。
52,65+,Retired,6063,Tea,Low,High,Manner,0.36,你是一名65+岁的Retired，生活在上海。月收入约6063元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对Manner Coffee有一定偏好，品牌忠诚度约0.36。
53,45-54,Freelance,2674,Latte,Medium,High,Luckin,0.44,你是一名45-54岁的Freelance，生活在上海。月收入约2674元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.44。
54,25-34,White Collar,10363,Specialty,High,Medium,Luckin,0.55,你是一名25-34岁的White Collar，生活在上海。月收入约10363元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.55。
55,55-64,Retired,5384,Americano,Low,High,Luckin,0.57,你是一名55-64岁的Retired，生活在上海。月收入约5384元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.57。
56,18-24,Student,2133,Specialty,Medium,High,Luckin,0.47,你是一名18-24岁的Student，生活在上海。月收入约2133元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.47。
57,65+,Retired,9244,Tea,Low,Medium,Nowwa,0.79,你是一名65+岁的Retired，生活在上海。月收入约9244元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于Medium。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.79。
58,18-24,Student,2071,Specialty,Medium,High,Luckin,0.29,你是一名18-24岁的Student，生活在上海。月收入约2071元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.29。
59,35-44,Tech/Finance,22665,Americano,High,Medium,Luckin,0.33,你是一名35-44岁的Tech/Finance，生活在上海。月收入约22665元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.33。
60,35-44,Freelance,6641,Specialty,Medium,High,Starbucks,0.4,你是一名35-44岁的Freelance，生活在上海。月收入约6641元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对星巴克有一定偏好，品牌忠诚度约0.4。
61,25-34,White Collar,10732,Latte,High,Medium,Luckin,0.64,你是一名25-34岁的White Collar，生活在上海。月收入约10732元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.64。
62,25-34,White Collar,18061,Latte,High,Medium,Luckin,0.77,你是一名25-34岁的White Collar，生活在上海。月收入约18061元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.77。
63,18-24,Student,2617,Latte,Medium,High,Manner,0.76,你是一名18-24岁的Student，生活在上海。月收入约2617元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对Manner Coffee有一定偏好，品牌忠诚度约0.76。
64,65+,Retired,5167,Tea,Low,High,Starbucks,0.22,你是一名65+岁的Retired，生活在上海。月收入约5167元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对星巴克有一定偏好，品牌忠诚度约0.22。
65,35-44,Freelance,4938,Latte,Medium,High,Nowwa,0.26,你是一名35-44岁的Freelance，生活在上海。月收入约4938元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.26。
66,25-34,Tech/Finance,27346,Americano,High,Low,PiYe,0.72,你是一名25-34岁的Tech/Finance，生活在上海。月收入约27346元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Low。你对皮爷咖啡有一定偏好，品牌忠诚度约0.72。
67,35-44,White Collar,13878,Latte,High,Medium,Seesaw,0.66,你是一名35-44岁的White Collar，生活在上海。月收入约13878元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Seesaw Coffee有一定偏好，品牌忠诚度约0.66。
68,65+,Retired,6086,Tea,Low,High,Luckin,0.26,你是一名65+岁的Retired，生活在上海。月收入约6086元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.26。
69,45-54,Tech/Finance,23541,Latte,High,Medium,Yongbo,0.76,你是一名45-54岁的Tech/Finance，生活在上海。月收入约23541元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.76。
70,25-34,White Collar,13005,Americano,High,Medium,Luckin,0.58,你是一名25-34岁的White Collar，生活在上海。月收入约13005元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.58。
71,45-54,Tech/Finance,19284,Latte,High,Medium,Luckin,0.24,你是一名45-54岁的Tech/Finance，生活在上海。月收入约19284元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.24。
72,25-34,Freelance,10547,Specialty,High,Medium,Luckin,0.38,你是一名25-34岁的Freelance，生活在上海。月收入约10547元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.38。
73,55-64,Freelance,10716,Americano,Medium,Medium,Luckin,0.35,你是一名55-64岁的Freelance，生活在上海。月收入约10716元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.35。
74,25-34,White Collar,10901,Specialty,High,Medium,Yongbo,0.8,你是一名25-34岁的White Collar，生活在上海。月收入约10901元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.8。
75,35-44,Tech/Finance,17252,Latte,High,Medium,MStand,0.25,你是一名35-44岁的Tech/Finance，生活在上海。月收入约17252元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对M Stand有一定偏好，品牌忠诚度约0.25。
76,35-44,Tech/Finance,12698,Latte,High,Medium,Luckin,0.52,你是一名35-44岁的Tech/Finance，生活在上海。月收入约12698元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.52。
77,45-54,White Collar,15281,Latte,High,Medium,Luckin,0.77,你是一名45-54岁的White Collar，生活在上海。月收入约15281元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.77。
78,18-24,Freelance,8493,Latte,Medium,Medium,Luckin,0.44,你是一名18-24岁的Freelance，生活在上海。月收入约8493元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.44。
79,65+,Retired,5207,Tea,Low,High,Yongbo,0.49,你是一名65+岁的Retired，生活在上海。月收入约5207元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对永璞咖啡有一定偏好，品牌忠诚度约0.49。
80,25-34,Freelance,27381,Americano,High,Low,Manner,0.72,你是一名25-34岁的Freelance，生活在上海。月收入约27381元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Low。你对Manner Coffee有一定偏好，品牌忠诚度约0.72。
81,45-54,Freelance,5100,Latte,Medium,High,Luckin,0.46,你是一名45-54岁的Freelance，生活在上海。月收入约5100元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.46。
82,35-44,Freelance,1500,Latte,Medium,High,Manner,0.38,你是一名35-44岁的Freelance，生活在上海。月收入约1500元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对Manner Coffee有一定偏好，品牌忠诚度约0.38。
83,55-64,Tech/Finance,26923,Americano,High,Low,Luckin,0.46,你是一名55-64岁的Tech/Finance，生活在上海。月收入约26923元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Low。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.46。
84,25-34,White Collar,10660,Latte,High,Medium,Luckin,0.63,你是一名25-34岁的White Collar，生活在上海。月收入约10660元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.63。
85,25-34,Tech/Finance,19420,Latte,High,Medium,Luckin,0.74,你是一名25-34岁的Tech/Finance，生活在上海。月收入约19420元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.74。
86,25-34,White Collar,9108,Latte,High,Medium,Starbucks,0.6,你是一名25-34岁的White Collar，生活在上海。月收入约9108元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.6。
87,25-34,White Collar,13904,Specialty,High,Medium,Tims,0.64,你是一名25-34岁的White Collar，生活在上海。月收入约13904元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对Tims 天好咖啡有一定偏好，品牌忠诚度约0.64。
88,35-44,White Collar,17568,Americano,High,Medium,Yongbo,0.51,你是一名35-44岁的White Collar，生活在上海。月收入约17568元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.51。
89,45-54,White Collar,15293,Latte,High,Medium,Starbucks,0.38,你是一名45-54岁的White Collar，生活在上海。月收入约15293元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.38。
90,45-54,Freelance,12066,Americano,Medium,Medium,PiYe,0.57,你是一名45-54岁的Freelance，生活在上海。月收入约12066元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对皮爷咖啡有一定偏好，品牌忠诚度约0.57。
91,25-34,White Collar,17224,Latte,High,Medium,Starbucks,0.29,你是一名25-34岁的White Collar，生活在上海。月收入约17224元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.29。
92,45-54,Service/Blue,5927,Latte,Medium,High,Luckin,0.34,你是一名45-54岁的Service/Blue，生活在上海。月收入约5927元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.34。
93,25-34,White Collar,9843,Latte,High,Medium,Luckin,0.64,你是一名25-34岁的White Collar，生活在上海。月收入约9843元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.64。
94,18-24,Student,1890,Latte,Medium,High,Nowwa,0.37,你是一名18-24岁的Student，生活在上海。月收入约1890元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.37。
95,35-44,Tech/Finance,31211,Latte,High,Low,Manner,0.35,你是一名35-44岁的Tech/Finance，生活在上海。月收入约31211元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Low。你对Manner Coffee有一定偏好，品牌忠诚度约0.35。
96,35-44,Tech/Finance,22042,Latte,High,Medium,Luckin,0.23,你是一名35-44岁的Tech/Finance，生活在上海。月收入约22042元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.23。
97,45-54,White Collar,15204,Latte,High,Medium,Luckin,0.63,你是一名45-54岁的White Collar，生活在上海。月收入约15204元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.63。
98,25-34,Tech/Finance,46191,Americano,High,Low,MStand,0.48,你是一名25-34岁的Tech/Finance，生活在上海。月收入约46191元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Low。你对M Stand有一定偏好，品牌忠诚度约0.48。
99,35-44,Service/Blue,7405,Americano,Medium,High,Yongbo,0.63,你是一名35-44岁的Service/Blue，生活在上海。月收入约7405元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对永璞咖啡有一定偏好，品牌忠诚度约0.63。
